Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-30,5.139999866485596,6.28000020980835,5.050000190734863,6.28000020980835,69432100,0,0
2020-12-01,5.860000133514404,6.800000190734863,5.550000190734863,6.190000057220459,35822300,0,0
2020-12-02,5.980000019073486,6.010000228881836,5.460000038146973,5.760000228881836,15836100,0,0
2020-12-03,5.960000038146973,6.179999828338623,5.659999847412109,5.909999847412109,25417500,0,0
2020-12-04,5.760000228881836,5.900000095367432,5.369999885559082,5.400000095367432,22191100,0,0
2020-12-07,5.400000095367432,6.039999961853027,5.389999866485596,5.510000228881836,21467800,0,0
2020-12-08,5.420000076293945,5.489999771118164,5.070000171661377,5.179999828338623,13333500,0,0
2020-12-09,5.230000019073486,5.340000152587891,4.519999980926514,4.78000020980835,16146300,0,0
2020-12-10,4.510000228881836,5.289999961853027,4.5,5.21999979019165,12805000,0,0
2020-12-11,4.980000019073486,5.170000076293945,4.659999847412109,4.75,10126500,0,0
2020-12-14,5.320000171661377,5.860000133514404,5.139999866485596,5.539999961853027,23564900,0,0
2020-12-15,5.699999809265137,7.159999847412109,5.53000020980835,7.070000171661377,38775400,0,0
2020-12-16,8.180000305175781,8.850000381469727,7.650000095367432,8.229999542236328,88747800,0,0
2020-12-17,9.65999984741211,10.449999809265137,9.029999732971191,9.470000267028809,89585900,0,0
2020-12-18,8.800000190734863,10.1899995803833,8.430000305175781,9.3100004196167,42205500,0,0
2020-12-21,9.109999656677246,11.550000190734863,9.050000190734863,11.5,50428000,0,0
2020-12-22,12.949999809265137,14.079999923706055,12.229999542236328,13.970000267028809,55643900,0,0
2020-12-23,13.680000305175781,13.850000381469727,10.789999961853027,10.8100004196167,41595300,0,0
2020-12-24,11.670000076293945,12.350000381469727,10.550000190734863,10.920000076293945,19138200,0,0
2020-12-28,14.0,14.65999984741211,12.100000381469727,12.25,58753600,0,0
2020-12-29,12.229999542236328,12.539999961853027,11.09000015258789,11.760000228881836,28427100,0,0
2020-12-30,12.5600004196167,12.949999809265137,10.710000038146973,10.880000114440918,55300400,0,0
2020-12-31,10.869999885559082,11.609999656677246,9.619999885559082,10.4399995803833,36916400,0,0
2021-01-04,12.479999542236328,12.489999771118164,10.529999732971191,11.010000228881836,35826600,0,0
2021-01-05,10.699999809265137,14.300000190734863,10.6899995803833,13.59000015258789,61984100,0,0
2021-01-06,14.579999923706055,17.579999923706055,14.25,16.959999084472656,83119900,0,0
2021-01-07,20.18000030517578,24.350000381469727,18.549999237060547,22.360000610351562,118963600,0,0
2021-01-08,25.059999465942383,28.3700008392334,23.799999237060547,26.389999389648438,97428200,0,0
2021-01-11,20.0,25.440000534057617,19.600000381469727,23.360000610351562,93551100,0,0
2021-01-12,24.0,26.920000076293945,22.809999465942383,26.149999618530273,57414200,0,0
