,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,2291,2019-01-01,ARCHIDPLY,EQ,43.15,42.95,43.9,41.6,42.6,42.4,42.69,7883,33648750000.0,187.0,5484,0.6957
1,1,1,1,1,1,1,1,1,1,2292,2019-01-02,ARCHIDPLY,EQ,42.4,43.5,43.5,41.0,41.1,41.2,41.77,11126,46475570000.0,233.0,8481,0.7623000000000001
2,2,2,2,2,2,2,2,2,2,2293,2019-01-03,ARCHIDPLY,EQ,41.2,42.0,42.9,41.15,41.6,41.95,41.98,42665,179116775000.0,466.0,23053,0.5403
3,3,3,3,3,3,3,3,3,3,2294,2019-01-04,ARCHIDPLY,EQ,41.95,40.3,41.6,40.3,41.6,41.2,41.25,8529,35182755000.0,164.0,6025,0.7064
4,4,4,4,4,4,4,4,4,4,2295,2019-01-07,ARCHIDPLY,EQ,41.2,42.5,46.25,40.3,46.25,44.65,44.3,57500,254696785000.0,437.0,43042,0.7486
5,5,5,5,5,5,5,5,5,5,2296,2019-01-08,ARCHIDPLY,EQ,44.65,46.0,48.0,43.4,44.5,44.25,45.62,92204,420637455000.0,1002.0,41015,0.4448
6,6,6,6,6,6,6,6,6,6,2297,2019-01-09,ARCHIDPLY,EQ,44.25,44.7,45.4,42.55,42.75,42.85,43.82,9089,39824245000.0,255.0,3759,0.4136
7,7,7,7,7,7,7,7,7,7,2298,2019-01-10,ARCHIDPLY,EQ,42.85,43.95,44.3,42.2,43.95,44.1,43.46,8785,38180015000.0,318.0,6460,0.7353000000000001
8,8,8,8,8,8,8,8,8,8,2299,2019-01-11,ARCHIDPLY,EQ,44.1,44.15,44.8,41.85,42.75,42.8,42.77,22836,97679830000.0,445.0,14989,0.6564
9,9,9,9,9,9,9,9,9,9,2300,2019-01-14,ARCHIDPLY,EQ,42.8,42.65,43.4,41.4,41.5,42.2,42.3,17082,72256465000.0,332.0,13514,0.7911
10,10,10,10,10,10,10,10,10,10,2301,2019-01-15,ARCHIDPLY,EQ,42.2,41.7,43.15,41.35,42.55,42.5,42.08,35302,148559830000.0,399.0,25159,0.7127
11,11,11,11,11,11,11,11,11,11,2302,2019-01-16,ARCHIDPLY,EQ,42.5,44.0,44.85,43.15,43.25,43.5,43.91,66843,293474510000.0,804.0,26967,0.4034
12,12,12,12,12,12,12,12,12,12,2303,2019-01-17,ARCHIDPLY,EQ,43.5,43.5,43.95,42.0,42.55,42.55,42.65,19404,82757775000.0,341.0,15197,0.7831999999999999
13,13,13,13,13,13,13,13,13,13,2304,2019-01-18,ARCHIDPLY,EQ,42.55,42.95,43.0,41.7,41.7,41.8,42.21,9027,38099020000.0,168.0,6325,0.7007
14,14,14,14,14,14,14,14,14,14,2305,2019-01-21,ARCHIDPLY,EQ,41.8,41.25,42.0,41.2,41.8,41.6,41.69,7770,32395435000.0,128.0,4960,0.6384000000000001
15,15,15,15,15,15,15,15,15,15,2306,2019-01-22,ARCHIDPLY,EQ,41.6,42.05,42.05,40.6,40.7,41.1,41.22,8324,34312030000.0,156.0,6632,0.7967000000000001
16,16,16,16,16,16,16,16,16,16,2307,2019-01-23,ARCHIDPLY,EQ,41.1,41.15,41.6,38.45,40.8,40.1,40.44,17883,72320535000.0,536.0,10049,0.5619
17,17,17,17,17,17,17,17,17,17,2308,2019-01-24,ARCHIDPLY,EQ,40.1,40.05,41.0,39.2,39.9,40.0,40.18,9497,38157920000.0,161.0,5624,0.5922
18,18,18,18,18,18,18,18,18,18,2309,2019-01-25,ARCHIDPLY,EQ,40.0,40.0,40.35,37.4,37.6,37.9,38.54,27899,107525970000.0,470.0,19879,0.7125
19,19,19,19,19,19,19,19,19,19,2310,2019-01-28,ARCHIDPLY,EQ,37.9,37.7,37.7,36.2,36.45,36.65,37.05,15488,57377210000.0,249.0,11279,0.7282
20,20,20,20,20,20,20,20,20,20,2311,2019-01-29,ARCHIDPLY,EQ,36.65,36.9,37.1,36.0,37.0,36.45,36.62,8974,32860725000.0,221.0,6436,0.7172
21,21,21,21,21,21,21,21,21,21,2312,2019-01-30,ARCHIDPLY,EQ,36.45,36.7,37.0,35.9,36.0,36.0,36.12,10365,37436470000.0,252.0,8330,0.8037000000000001
22,22,22,22,22,22,22,22,22,22,2313,2019-01-31,ARCHIDPLY,EQ,36.0,36.25,42.45,36.25,38.6,38.5,39.56,60526,239436860000.0,1450.0,19715,0.3257
23,23,23,23,23,23,23,23,23,23,2314,2019-02-01,ARCHIDPLY,EQ,38.5,39.0,41.5,38.0,38.05,38.45,39.07,7883,30795740000.000008,209.0,6029,0.7648
24,24,24,24,24,24,24,24,24,24,2315,2019-02-04,ARCHIDPLY,EQ,38.45,38.5,38.75,35.65,36.6,36.7,36.33,19979,72589780000.0,244.0,10687,0.5349
25,25,25,25,25,25,25,25,25,25,2316,2019-02-05,ARCHIDPLY,EQ,36.7,37.9,38.0,35.75,37.95,36.8,36.74,14204,52181850000.0,202.0,10648,0.7495999999999999
26,26,26,26,26,26,26,26,26,26,2317,2019-02-06,ARCHIDPLY,EQ,36.8,37.0,38.0,36.2,37.7,37.35,37.13,9751,36200825000.0,157.0,6860,0.7034999999999999
27,27,27,27,27,27,27,27,27,27,2318,2019-02-07,ARCHIDPLY,EQ,37.35,37.45,38.2,36.95,36.95,37.05,37.39,3708,13863710000.0,111.0,2797,0.7543000000000001
28,28,28,28,28,28,28,28,28,28,2319,2019-02-08,ARCHIDPLY,EQ,37.05,37.45,37.5,36.5,37.05,37.1,37.06,6179,22899440000.0,79.0,5434,0.8794
29,29,29,29,29,29,29,29,29,29,2320,2019-02-11,ARCHIDPLY,EQ,37.1,37.0,38.4,36.6,37.7,37.1,37.61,19809,74500855000.0,471.0,12412,0.6265999999999999
30,30,30,30,30,30,30,30,30,30,2321,2019-02-12,ARCHIDPLY,EQ,37.1,37.3,37.3,35.9,36.0,36.0,36.16,11952,43217685000.0,237.0,8182,0.6846
31,31,31,31,31,31,31,31,31,31,2322,2019-02-13,ARCHIDPLY,EQ,36.0,36.2,37.05,35.5,36.15,36.25,36.35,6990,25407955000.0,130.0,4791,0.6854000000000001
32,32,32,32,32,32,32,32,32,32,2323,2019-02-14,ARCHIDPLY,EQ,36.25,36.55,37.2,36.15,36.65,36.75,36.59,9196,33652390000.000008,134.0,6244,0.679
33,33,33,33,33,33,33,33,33,33,2324,2019-02-15,ARCHIDPLY,EQ,36.75,37.0,37.0,36.0,36.55,36.5,36.53,7214,26355710000.0,127.0,6952,0.9637
34,34,34,34,34,34,34,34,34,34,2325,2019-02-18,ARCHIDPLY,EQ,36.5,36.25,36.45,35.05,35.6,35.35,35.66,15282,54494850000.0,224.0,12234,0.8005
35,35,35,35,35,35,35,35,35,35,2326,2019-02-19,ARCHIDPLY,EQ,35.35,35.25,41.4,35.25,37.85,37.85,38.86,42891,166662600000.0,708.0,19817,0.462
